order	match_kind	old	canonical	policy	surface
001	literal	porffor-front	lila-front	clean-break	Cargo package and directory
002	literal	porffor-ir	lila-ir	clean-break	Cargo package and directory
003	literal	porffor-runtime	lila-runtime	clean-break	Cargo package and directory
004	literal	porffor-spec-exec	lila-spec-exec	clean-break	Cargo package and directory
005	literal	porffor-aot-wasm	lila-aot-wasm	clean-break	Cargo package and directory
006	literal	porffor-backend-c	lila-backend-c	clean-break	Cargo package and directory
007	literal	porffor-backend-native	lila-backend-native	clean-break	Cargo package and directory
008	literal	porffor-engine	lila-engine	clean-break	Cargo package and directory
009	literal	porffor-test262	lila-test262	clean-break	Cargo package and directory
010	literal	porffor-cli	lila-cli	clean-break	Cargo package and directory
011	literal	porffor_front	lila_front	clean-break	Rust crate import
012	literal	porffor_ir	lila_ir	clean-break	Rust crate import
013	literal	porffor_runtime	lila_runtime	clean-break	Rust crate import
014	literal	porffor_spec_exec	lila_spec_exec	clean-break	Rust crate import
015	literal	porffor_aot_wasm	lila_aot_wasm	clean-break	Rust crate import
016	literal	porffor_backend_c	lila_backend_c	clean-break	Rust crate import
017	literal	porffor_backend_native	lila_backend_native	clean-break	Rust crate import
018	literal	porffor_engine	lila_engine	clean-break	Rust crate import
019	literal	porffor_test262	lila_test262	clean-break	Rust crate import
020	literal	porffor_cli	lila_cli	clean-break	Rust crate import
021	literal	porf	lila	clean-break	Executable and current command prose
022	literal	porf.rs	lila.rs	clean-break	Binary source filename
023	literal	CARGO_BIN_EXE_porf	CARGO_BIN_EXE_lila	clean-break	Cargo integration-test variable
024	literal	PORF	LILA	clean-break	Python executable-path constant
025	literal	PORF_BIN	LILA_BIN	clean-break	Shell executable-path variable
026	prefix	porf-	lila-	clean-break	Release artifact name
027	literal	porffor.jsonc	lila.jsonc	clean-break	Default config discovery
028	literal	porffor.json	lila.json	clean-break	Default config discovery
029	literal	porffor.toml	lila.toml	clean-break	Default config discovery
030	literal	PORFFOR_CACHE_DIR	LILA_CACHE_DIR	clean-break	Environment variable
